,CountryCode_Language,CountryCode,Language,IsOfficial,Percentage,add_numerical
72,BEN_Bariba,BEN,Bariba,F,8.7,8.7
73,BEN_Fon,BEN,Fon,F,39.8,39.8
74,BEN_Ful,BEN,Ful,F,5.6,5.6
75,BEN_Joruba,BEN,Joruba,F,12.2,12.2
76,BEN_Somba,BEN,Somba,F,6.7,6.7
77,BFA_Busansi,BFA,Busansi,F,3.5,3.5
78,BFA_Dagara,BFA,Dagara,F,3.1,3.1
79,BFA_Dyula,BFA,Dyula,F,2.6,2.6
80,BFA_Ful,BFA,Ful,F,9.7,9.7
81,BFA_Gurma,BFA,Gurma,F,5.7,5.7
82,BFA_Mossi,BFA,Mossi,F,50.2,50.2
83,BGD_Bengali,BGD,Bengali,T,97.7,97.7
84,BGD_Chakma,BGD,Chakma,F,0.4,0.4
85,BGD_Garo,BGD,Garo,F,0.1,0.1
86,BGD_Khasi,BGD,Khasi,F,0.1,0.1
87,BGD_Marma,BGD,Marma,F,0.2,0.2
88,BGD_Santhali,BGD,Santhali,F,0.1,0.1
89,BGD_Tripuri,BGD,Tripuri,F,0.1,0.1
90,BGR_Bulgariana,BGR,Bulgariana,T,83.2,83.2
91,BGR_Macedonian,BGR,Macedonian,F,2.6,2.6
92,BGR_Romani,BGR,Romani,F,3.7,3.7
93,BGR_Turkish,BGR,Turkish,F,9.4,9.4
94,BHR_Arabic,BHR,Arabic,T,67.7,67.7
95,BHR_English,BHR,English,F,0.0,0.0
96,BHS_Creole English,BHS,Creole English,F,89.7,89.7
97,BHS_Creole French,BHS,Creole French,F,10.3,10.3
98,BIH_Serbo-Croatian,BIH,Serbo-Croatian,T,99.2,99.2
99,BLR_Belorussian,BLR,Belorussian,T,65.6,65.6
100,BLR_Polish,BLR,Polish,F,0.6,0.6
101,BLR_Russian,BLR,Russian,T,32.0,32.0
102,BLR_Ukrainian,BLR,Ukrainian,F,1.3,1.3
103,BLZ_English,BLZ,English,T,50.8,50.8
104,BLZ_Garifuna,BLZ,Garifuna,F,6.8,6.8
105,BLZ_Maya Languages,BLZ,Maya Languages,F,9.6,9.6
106,BLZ_Spanish,BLZ,Spanish,F,31.6,31.6
107,BMU_English,BMU,English,T,100.0,100.0
108,BOL_Aimará,BOL,Aimará,T,3.2,3.2
109,BOL_Guaraní,BOL,Guaraní,F,0.1,0.1
110,BOL_Ketšua,BOL,Ketšua,T,8.1,8.1
111,BOL_Spanish,BOL,Spanish,T,87.7,87.7
112,BRA_German,BRA,German,F,0.5,0.5
113,BRA_Indian Languages,BRA,Indian Languages,F,0.2,0.2
114,BRA_Italian,BRA,Italian,F,0.4,0.4
115,BRA_Japanese,BRA,Japanese,F,0.4,0.4
116,BRA_Portuguese,BRA,Portuguese,T,97.5,97.5
117,BRB_Bajan,BRB,Bajan,F,95.1,95.1
118,BRB_English,BRB,English,T,0.0,0.0
119,BRN_Chinese,BRN,Chinese,F,9.3,9.3
120,BRN_English,BRN,English,F,3.1,3.1
121,BRN_Malay,BRN,Malay,T,45.5,45.5
122,BRN_Malay-English,BRN,Malay-English,F,28.8,28.8
123,BTN_Asami,BTN,Asami,F,15.2,15.2
124,BTN_Dzongkha,BTN,Dzongkha,T,50.0,50.0
125,BTN_Nepali,BTN,Nepali,F,34.8,34.8
126,BWA_Khoekhoe,BWA,Khoekhoe,F,2.5,2.5
127,BWA_Ndebele,BWA,Ndebele,F,1.3,1.3
128,BWA_San,BWA,San,F,3.5,3.5
129,BWA_Shona,BWA,Shona,F,12.3,12.3
130,BWA_Tswana,BWA,Tswana,F,75.5,75.5
131,CAF_Banda,CAF,Banda,F,23.5,23.5
132,CAF_Gbaya,CAF,Gbaya,F,23.8,23.8
133,CAF_Mandjia,CAF,Mandjia,F,14.8,14.8
134,CAF_Mbum,CAF,Mbum,F,6.4,6.4
135,CAF_Ngbaka,CAF,Ngbaka,F,7.5,7.5
136,CAF_Sara,CAF,Sara,F,6.4,6.4
137,CAN_Chinese,CAN,Chinese,F,2.5,2.5
138,CAN_Dutch,CAN,Dutch,F,0.5,0.5
139,CAN_English,CAN,English,T,60.4,60.4
140,CAN_Eskimo Languages,CAN,Eskimo Languages,F,0.1,0.1
141,CAN_French,CAN,French,T,23.4,23.4
142,CAN_German,CAN,German,F,1.6,1.6
143,CAN_Italian,CAN,Italian,F,1.7,1.7
144,CAN_Polish,CAN,Polish,F,0.7,0.7
145,CAN_Portuguese,CAN,Portuguese,F,0.7,0.7
146,CAN_Punjabi,CAN,Punjabi,F,0.7,0.7
147,CAN_Spanish,CAN,Spanish,F,0.7,0.7
148,CAN_Ukrainian,CAN,Ukrainian,F,0.6,0.6
149,CCK_English,CCK,English,T,0.0,0.0
150,CCK_Malay,CCK,Malay,F,0.0,0.0
151,CHE_French,CHE,French,T,19.2,19.2
152,CHE_German,CHE,German,T,63.6,63.6
153,CHE_Italian,CHE,Italian,T,7.7,7.7
154,CHE_Romansh,CHE,Romansh,T,0.6,0.6
155,CHL_Aimará,CHL,Aimará,F,0.5,0.5
156,CHL_Araucan,CHL,Araucan,F,9.6,9.6
157,CHL_Rapa nui,CHL,Rapa nui,F,0.2,0.2
158,CHL_Spanish,CHL,Spanish,T,89.7,89.7
159,CHN_Chinese,CHN,Chinese,T,92.0,92.0
160,CHN_Dong,CHN,Dong,F,0.2,0.2
161,CHN_Hui,CHN,Hui,F,0.8,0.8
162,CHN_Mantšu,CHN,Mantšu,F,0.9,0.9
163,CHN_Miao,CHN,Miao,F,0.7,0.7
164,CHN_Mongolian,CHN,Mongolian,F,0.4,0.4
165,CHN_Puyi,CHN,Puyi,F,0.2,0.2
166,CHN_Tibetan,CHN,Tibetan,F,0.4,0.4
167,CHN_Tujia,CHN,Tujia,F,0.5,0.5
168,CHN_Uighur,CHN,Uighur,F,0.6,0.6
169,CHN_Yi,CHN,Yi,F,0.6,0.6
170,CHN_Zhuang,CHN,Zhuang,F,1.4,1.4
171,CIV_Akan,CIV,Akan,F,30.0,30.0
172,CIV_Gur,CIV,Gur,F,11.7,11.7
173,CIV_Kru,CIV,Kru,F,10.5,10.5
174,CIV_Malinke,CIV,Malinke,F,11.4,11.4
175,CIV_[South]Mande,CIV,[South]Mande,F,7.7,7.7
176,CMR_Bamileke-bamum,CMR,Bamileke-bamum,F,18.6,18.6
177,CMR_Duala,CMR,Duala,F,10.9,10.9
178,CMR_Fang,CMR,Fang,F,19.7,19.7
179,CMR_Ful,CMR,Ful,F,9.6,9.6
180,CMR_Maka,CMR,Maka,F,4.9,4.9
181,CMR_Mandara,CMR,Mandara,F,5.7,5.7
182,CMR_Masana,CMR,Masana,F,3.9,3.9
183,CMR_Tikar,CMR,Tikar,F,7.4,7.4
184,COD_Boa,COD,Boa,F,2.3,2.3
185,COD_Chokwe,COD,Chokwe,F,1.8,1.8
186,COD_Kongo,COD,Kongo,F,16.0,16.0
187,COD_Luba,COD,Luba,F,18.0,18.0
188,COD_Mongo,COD,Mongo,F,13.5,13.5
189,COD_Ngala and Bangi,COD,Ngala and Bangi,F,5.8,5.8
190,COD_Rundi,COD,Rundi,F,3.8,3.8
191,COD_Rwanda,COD,Rwanda,F,10.3,10.3
192,COD_Teke,COD,Teke,F,2.7,2.7
193,COD_Zande,COD,Zande,F,6.1,6.1
194,COG_Kongo,COG,Kongo,F,51.5,51.5
195,COG_Mbete,COG,Mbete,F,4.8,4.8
196,COG_Mboshi,COG,Mboshi,F,11.4,11.4
197,COG_Punu,COG,Punu,F,2.9,2.9
198,COG_Sango,COG,Sango,F,2.6,2.6
199,COG_Teke,COG,Teke,F,17.3,17.3
200,COK_English,COK,English,F,0.0,0.0
201,COK_Maori,COK,Maori,T,0.0,0.0
202,COL_Arawakan,COL,Arawakan,F,0.1,0.1
203,COL_Caribbean,COL,Caribbean,F,0.1,0.1
204,COL_Chibcha,COL,Chibcha,F,0.4,0.4
205,COL_Creole English,COL,Creole English,F,0.1,0.1
206,COL_Spanish,COL,Spanish,T,99.0,99.0
207,COM_Comorian,COM,Comorian,T,75.0,75.0
208,COM_Comorian-Arabic,COM,Comorian-Arabic,F,1.6,1.6
209,COM_Comorian-French,COM,Comorian-French,F,12.9,12.9
210,COM_Comorian-madagassi,COM,Comorian-madagassi,F,5.5,5.5
211,COM_Comorian-Swahili,COM,Comorian-Swahili,F,0.5,0.5
212,CPV_Crioulo,CPV,Crioulo,F,100.0,100.0
213,CPV_Portuguese,CPV,Portuguese,T,0.0,0.0
214,CRI_Chibcha,CRI,Chibcha,F,0.3,0.3
215,CRI_Chinese,CRI,Chinese,F,0.2,0.2
216,CRI_Creole English,CRI,Creole English,F,2.0,2.0
217,CRI_Spanish,CRI,Spanish,T,97.5,97.5
218,CUB_Spanish,CUB,Spanish,T,100.0,100.0
219,CXR_Chinese,CXR,Chinese,F,0.0,0.0
220,CXR_English,CXR,English,T,0.0,0.0
221,CYM_English,CYM,English,T,0.0,0.0
222,CYP_Greek,CYP,Greek,T,74.1,74.1
223,CYP_Turkish,CYP,Turkish,T,22.4,22.4
224,CZE_Czech,CZE,Czech,T,81.2,81.2
225,CZE_German,CZE,German,F,0.5,0.5
226,CZE_Hungarian,CZE,Hungarian,F,0.2,0.2
227,CZE_Moravian,CZE,Moravian,F,12.9,12.9
228,CZE_Polish,CZE,Polish,F,0.6,0.6
229,CZE_Romani,CZE,Romani,F,0.3,0.3
230,CZE_Silesiana,CZE,Silesiana,F,0.4,0.4
231,CZE_Slovak,CZE,Slovak,F,3.1,3.1
232,DEU_German,DEU,German,T,91.3,91.3
233,DEU_Greek,DEU,Greek,F,0.4,0.4
234,DEU_Italian,DEU,Italian,F,0.7,0.7
235,DEU_Polish,DEU,Polish,F,0.3,0.3
236,DEU_Southern Slavic Languages,DEU,Southern Slavic Languages,F,1.4,1.4
237,DEU_Turkish,DEU,Turkish,F,2.6,2.6
238,DJI_Afar,DJI,Afar,F,34.8,34.8
239,DJI_Arabic,DJI,Arabic,T,10.6,10.6
240,DJI_Somali,DJI,Somali,F,43.9,43.9
241,DMA_Creole English,DMA,Creole English,F,100.0,100.0
242,DMA_Creole French,DMA,Creole French,F,0.0,0.0
243,DNK_Arabic,DNK,Arabic,F,0.7,0.7
244,DNK_Danish,DNK,Danish,T,93.5,93.5
245,DNK_English,DNK,English,F,0.3,0.3
246,DNK_German,DNK,German,F,0.5,0.5
247,DNK_Norwegian,DNK,Norwegian,F,0.3,0.3
248,DNK_Swedish,DNK,Swedish,F,0.3,0.3
249,DNK_Turkish,DNK,Turkish,F,0.8,0.8
250,DOM_Creole French,DOM,Creole French,F,2.0,2.0
251,DOM_Spanish,DOM,Spanish,T,98.0,98.0
252,DZA_Arabic,DZA,Arabic,T,86.0,86.0
253,DZA_Berberi,DZA,Berberi,F,14.0,14.0
254,ECU_Ketšua,ECU,Ketšua,F,7.0,7.0
255,ECU_Spanish,ECU,Spanish,T,93.0,93.0
256,EGY_Arabic,EGY,Arabic,T,98.8,98.8
257,EGY_Sinaberberi,EGY,Sinaberberi,F,0.0,0.0
258,ERI_Afar,ERI,Afar,F,4.3,4.3
259,ERI_Bilin,ERI,Bilin,F,3.0,3.0
260,ERI_Hadareb,ERI,Hadareb,F,3.8,3.8
261,ERI_Saho,ERI,Saho,F,3.0,3.0
262,ERI_Tigre,ERI,Tigre,F,31.7,31.7
263,ERI_Tigrinja,ERI,Tigrinja,T,49.1,49.1
264,ESH_Arabic,ESH,Arabic,T,100.0,100.0
265,ESP_Basque,ESP,Basque,F,1.6,1.6
266,ESP_Catalan,ESP,Catalan,F,16.9,16.9
267,ESP_Galecian,ESP,Galecian,F,6.4,6.4
268,ESP_Spanish,ESP,Spanish,T,74.4,74.4
269,EST_Belorussian,EST,Belorussian,F,1.4,1.4
270,EST_Estonian,EST,Estonian,T,65.3,65.3
271,EST_Finnish,EST,Finnish,F,0.7,0.7
272,EST_Russian,EST,Russian,F,27.8,27.8
273,EST_Ukrainian,EST,Ukrainian,F,2.8,2.8
274,ETH_Amhara,ETH,Amhara,F,30.0,30.0
275,ETH_Gurage,ETH,Gurage,F,4.7,4.7
276,ETH_Oromo,ETH,Oromo,F,31.0,31.0
277,ETH_Sidamo,ETH,Sidamo,F,3.2,3.2
278,ETH_Somali,ETH,Somali,F,4.1,4.1
279,ETH_Tigrinja,ETH,Tigrinja,F,7.2,7.2
280,ETH_Walaita,ETH,Walaita,F,2.8,2.8
281,FIN_Estonian,FIN,Estonian,F,0.2,0.2
282,FIN_Finnish,FIN,Finnish,T,92.7,92.7
283,FIN_Russian,FIN,Russian,F,0.4,0.4
284,FIN_Saame,FIN,Saame,F,0.0,0.0
285,FIN_Swedish,FIN,Swedish,T,5.7,5.7
286,FJI_Fijian,FJI,Fijian,T,50.8,50.8
287,FJI_Hindi,FJI,Hindi,F,43.7,43.7
288,FLK_English,FLK,English,T,0.0,0.0
289,FRA_Arabic,FRA,Arabic,F,2.5,2.5
290,FRA_French,FRA,French,T,93.6,93.6
291,FRA_Italian,FRA,Italian,F,0.4,0.4
292,FRA_Portuguese,FRA,Portuguese,F,1.2,1.2
293,FRA_Spanish,FRA,Spanish,F,0.4,0.4
294,FRA_Turkish,FRA,Turkish,F,0.4,0.4
295,FRO_Danish,FRO,Danish,T,0.0,0.0
296,FRO_Faroese,FRO,Faroese,T,100.0,100.0
297,FSM_Kosrean,FSM,Kosrean,F,7.3,7.3
298,FSM_Mortlock,FSM,Mortlock,F,7.6,7.6
299,FSM_Pohnpei,FSM,Pohnpei,F,23.8,23.8
300,FSM_Trukese,FSM,Trukese,F,41.6,41.6
301,FSM_Wolea,FSM,Wolea,F,3.7,3.7
302,FSM_Yap,FSM,Yap,F,5.8,5.8
303,GAB_Fang,GAB,Fang,F,35.8,35.8
304,GAB_Mbete,GAB,Mbete,F,13.8,13.8
305,GAB_Mpongwe,GAB,Mpongwe,F,14.6,14.6
306,GAB_Punu-sira-nzebi,GAB,Punu-sira-nzebi,F,17.1,17.1
307,GBR_English,GBR,English,T,97.3,97.3
308,GBR_Gaeli,GBR,Gaeli,F,0.1,0.1
309,GBR_Kymri,GBR,Kymri,F,0.9,0.9
310,GEO_Abhyasi,GEO,Abhyasi,F,1.7,1.7
311,GEO_Armenian,GEO,Armenian,F,6.8,6.8
312,GEO_Azerbaijani,GEO,Azerbaijani,F,5.5,5.5
313,GEO_Georgiana,GEO,Georgiana,T,71.7,71.7
314,GEO_Osseetti,GEO,Osseetti,F,2.4,2.4
315,GEO_Russian,GEO,Russian,F,8.8,8.8
316,GHA_Akan,GHA,Akan,F,52.4,52.4
317,GHA_Ewe,GHA,Ewe,F,11.9,11.9
318,GHA_Ga-adangme,GHA,Ga-adangme,F,7.8,7.8
319,GHA_Gurma,GHA,Gurma,F,3.3,3.3
320,GHA_Joruba,GHA,Joruba,F,1.3,1.3
321,GHA_Mossi,GHA,Mossi,F,15.8,15.8
322,GIB_Arabic,GIB,Arabic,F,7.4,7.4
323,GIB_English,GIB,English,T,88.9,88.9
324,GIN_Ful,GIN,Ful,F,38.6,38.6
325,GIN_Kissi,GIN,Kissi,F,6.0,6.0
326,GIN_Kpelle,GIN,Kpelle,F,4.6,4.6
327,GIN_Loma,GIN,Loma,F,2.3,2.3
328,GIN_Malinke,GIN,Malinke,F,23.2,23.2
329,GIN_Susu,GIN,Susu,F,11.0,11.0
330,GIN_Yalunka,GIN,Yalunka,F,2.9,2.9
331,GLP_Creole French,GLP,Creole French,F,95.0,95.0
332,GLP_French,GLP,French,T,0.0,0.0
333,GMB_Diola,GMB,Diola,F,9.2,9.2
334,GMB_Ful,GMB,Ful,F,16.2,16.2
335,GMB_Malinke,GMB,Malinke,F,34.1,34.1
336,GMB_Soninke,GMB,Soninke,F,7.6,7.6
337,GMB_Wolof,GMB,Wolof,F,12.6,12.6
338,GNB_Balante,GNB,Balante,F,14.6,14.6
339,GNB_Crioulo,GNB,Crioulo,F,36.4,36.4
340,GNB_Ful,GNB,Ful,F,16.6,16.6
341,GNB_Malinke,GNB,Malinke,F,6.9,6.9
342,GNB_Mandyako,GNB,Mandyako,F,4.9,4.9
343,GNB_Portuguese,GNB,Portuguese,T,8.1,8.1
344,GNQ_Bubi,GNQ,Bubi,F,8.7,8.7
345,GNQ_Fang,GNQ,Fang,F,84.8,84.8
346,GRC_Greek,GRC,Greek,T,98.5,98.5
347,GRC_Turkish,GRC,Turkish,F,0.9,0.9
348,GRD_Creole English,GRD,Creole English,F,100.0,100.0
349,GRL_Danish,GRL,Danish,T,12.5,12.5
350,GRL_Greenlandic,GRL,Greenlandic,T,87.5,87.5
351,GTM_Cakchiquel,GTM,Cakchiquel,F,8.9,8.9
352,GTM_Kekchí,GTM,Kekchí,F,4.9,4.9
353,GTM_Mam,GTM,Mam,F,2.7,2.7
354,GTM_Quiché,GTM,Quiché,F,10.1,10.1
355,GTM_Spanish,GTM,Spanish,T,64.7,64.7
356,GUF_Creole French,GUF,Creole French,F,94.3,94.3
357,GUF_Indian Languages,GUF,Indian Languages,F,1.9,1.9
358,GUM_Chamorro,GUM,Chamorro,T,29.6,29.6
359,GUM_English,GUM,English,T,37.5,37.5
360,GUM_Japanese,GUM,Japanese,F,2.0,2.0
361,GUM_Korean,GUM,Korean,F,3.3,3.3
362,GUM_Philippene Languages,GUM,Philippene Languages,F,19.7,19.7
363,GUY_Arawakan,GUY,Arawakan,F,1.4,1.4
364,GUY_Caribbean,GUY,Caribbean,F,2.2,2.2
365,GUY_Creole English,GUY,Creole English,F,96.4,96.4
366,HKG_Canton Chinese,HKG,Canton Chinese,F,88.7,88.7
367,HKG_Chiu chau,HKG,Chiu chau,F,1.4,1.4
368,HKG_English,HKG,English,T,2.2,2.2
369,HKG_Fukien,HKG,Fukien,F,1.9,1.9
370,HKG_Hakka,HKG,Hakka,F,1.6,1.6
371,HND_Creole English,HND,Creole English,F,0.2,0.2
372,HND_Garifuna,HND,Garifuna,F,1.3,1.3
373,HND_Miskito,HND,Miskito,F,0.2,0.2
374,HND_Spanish,HND,Spanish,T,97.2,97.2
375,HRV_Serbo-Croatian,HRV,Serbo-Croatian,T,95.9,95.9
376,HRV_Slovene,HRV,Slovene,F,0.0,0.0
377,HTI_French,HTI,French,T,0.0,0.0
378,HTI_Haiti Creole,HTI,Haiti Creole,F,100.0,100.0
379,HUN_German,HUN,German,F,0.4,0.4
380,HUN_Hungarian,HUN,Hungarian,T,98.5,98.5
381,HUN_Romani,HUN,Romani,F,0.5,0.5
382,HUN_Romanian,HUN,Romanian,F,0.1,0.1
383,HUN_Serbo-Croatian,HUN,Serbo-Croatian,F,0.2,0.2
384,HUN_Slovak,HUN,Slovak,F,0.1,0.1
385,IDN_Bali,IDN,Bali,F,1.7,1.7
386,IDN_Banja,IDN,Banja,F,1.8,1.8
387,IDN_Batakki,IDN,Batakki,F,2.2,2.2
388,IDN_Bugi,IDN,Bugi,F,2.2,2.2
389,IDN_Javanese,IDN,Javanese,F,39.4,39.4
390,IDN_Madura,IDN,Madura,F,4.3,4.3
391,IDN_Malay,IDN,Malay,T,12.1,12.1
392,IDN_Minangkabau,IDN,Minangkabau,F,2.4,2.4
393,IDN_Sunda,IDN,Sunda,F,15.8,15.8
394,IND_Asami,IND,Asami,F,1.5,1.5
395,IND_Bengali,IND,Bengali,F,8.2,8.2
396,IND_Gujarati,IND,Gujarati,F,4.8,4.8
397,IND_Hindi,IND,Hindi,T,39.9,39.9
398,IND_Kannada,IND,Kannada,F,3.9,3.9
399,IND_Malajalam,IND,Malajalam,F,3.6,3.6
400,IND_Marathi,IND,Marathi,F,7.4,7.4
401,IND_Orija,IND,Orija,F,3.3,3.3
402,IND_Punjabi,IND,Punjabi,F,2.8,2.8
403,IND_Tamil,IND,Tamil,F,6.3,6.3
404,IND_Telugu,IND,Telugu,F,7.8,7.8
405,IND_Urdu,IND,Urdu,F,5.1,5.1
406,IRL_English,IRL,English,T,98.4,98.4
407,IRL_Irish,IRL,Irish,T,1.6,1.6
408,IRN_Arabic,IRN,Arabic,F,2.2,2.2
409,IRN_Azerbaijani,IRN,Azerbaijani,F,16.8,16.8
410,IRN_Bakhtyari,IRN,Bakhtyari,F,1.7,1.7
411,IRN_Balochi,IRN,Balochi,F,2.3,2.3
412,IRN_Gilaki,IRN,Gilaki,F,5.3,5.3
413,IRN_Kurdish,IRN,Kurdish,F,9.1,9.1
414,IRN_Luri,IRN,Luri,F,4.3,4.3
415,IRN_Mazandarani,IRN,Mazandarani,F,3.6,3.6
416,IRN_Persian,IRN,Persian,T,45.7,45.7
417,IRN_Turkmenian,IRN,Turkmenian,F,1.6,1.6
418,IRQ_Arabic,IRQ,Arabic,T,77.2,77.2
419,IRQ_Assyrian,IRQ,Assyrian,F,0.8,0.8
420,IRQ_Azerbaijani,IRQ,Azerbaijani,F,1.7,1.7
421,IRQ_Kurdish,IRQ,Kurdish,F,19.0,19.0
422,IRQ_Persian,IRQ,Persian,F,0.8,0.8
423,ISL_English,ISL,English,F,0.0,0.0
424,ISL_Icelandic,ISL,Icelandic,T,95.7,95.7
425,ISR_Arabic,ISR,Arabic,T,18.0,18.0
426,ISR_Hebrew,ISR,Hebrew,T,63.1,63.1
427,ISR_Russian,ISR,Russian,F,8.9,8.9
428,ITA_Albaniana,ITA,Albaniana,F,0.2,0.2
429,ITA_French,ITA,French,F,0.5,0.5
430,ITA_Friuli,ITA,Friuli,F,1.2,1.2
431,ITA_German,ITA,German,F,0.5,0.5
432,ITA_Italian,ITA,Italian,T,94.1,94.1
433,ITA_Romani,ITA,Romani,F,0.2,0.2
434,ITA_Sardinian,ITA,Sardinian,F,2.7,2.7
435,ITA_Slovene,ITA,Slovene,F,0.2,0.2
436,JAM_Creole English,JAM,Creole English,F,94.2,94.2
437,JAM_Hindi,JAM,Hindi,F,1.9,1.9
438,JOR_Arabic,JOR,Arabic,T,97.9,97.9
439,JOR_Armenian,JOR,Armenian,F,1.0,1.0
440,JOR_Circassian,JOR,Circassian,F,1.0,1.0
441,JPN_Ainu,JPN,Ainu,F,0.0,0.0
442,JPN_Chinese,JPN,Chinese,F,0.2,0.2
443,JPN_English,JPN,English,F,0.1,0.1
444,JPN_Japanese,JPN,Japanese,T,99.1,99.1
445,JPN_Korean,JPN,Korean,F,0.5,0.5
446,JPN_Philippene Languages,JPN,Philippene Languages,F,0.1,0.1
447,KAZ_German,KAZ,German,F,3.1,3.1
448,KAZ_Kazakh,KAZ,Kazakh,T,46.0,46.0
449,KAZ_Russian,KAZ,Russian,F,34.7,34.7
450,KAZ_Tatar,KAZ,Tatar,F,2.0,2.0
451,KAZ_Ukrainian,KAZ,Ukrainian,F,5.0,5.0
452,KAZ_Uzbek,KAZ,Uzbek,F,2.3,2.3
453,KEN_Gusii,KEN,Gusii,F,6.1,6.1
454,KEN_Kalenjin,KEN,Kalenjin,F,10.8,10.8
455,KEN_Kamba,KEN,Kamba,F,11.2,11.2
456,KEN_Kikuyu,KEN,Kikuyu,F,20.9,20.9
457,KEN_Luhya,KEN,Luhya,F,13.8,13.8
458,KEN_Luo,KEN,Luo,F,12.8,12.8
459,KEN_Masai,KEN,Masai,F,1.6,1.6
460,KEN_Meru,KEN,Meru,F,5.5,5.5
461,KEN_Nyika,KEN,Nyika,F,4.8,4.8
462,KEN_Turkana,KEN,Turkana,F,1.4,1.4
463,KGZ_Kazakh,KGZ,Kazakh,F,0.8,0.8
464,KGZ_Kirgiz,KGZ,Kirgiz,T,59.7,59.7
