,GeneID1_GeneID2,GeneID1,GeneID2,Type,Expression_Corr,add_numerical
43,G234191_G235358,G234191,G235358,Physical,0.753626293,0.753626293
44,G234194_G235129,G234194,G235129,Genetic,0.331438725,0.331438725
45,G234194_G235213,G234194,G235213,Physical,0.299363986,0.299363986
46,G234194_G235229,G234194,G235229,Genetic-Physical,0.8399797940000001,0.8399797940000001
47,G234194_G239123,G234194,G239123,Physical,0.640012496,0.640012496
48,G234197_G234167,G234197,G234167,Genetic,0.692119522,0.692119522
49,G234197_G235781,G234197,G235781,Genetic,0.236679188,0.236679188
50,G234197_G235830,G234197,G235830,Genetic,0.266503991,0.266503991
51,G234197_G236399,G234197,G236399,Genetic,0.859871727,0.859871727
52,G234197_G237021,G234197,G237021,Genetic-Physical,-0.136867397,-0.136867397
53,G234202_G234522,G234202,G234522,Physical,0.081133204,0.081133204
54,G234202_G235426,G234202,G235426,Genetic,0.041493985,0.041493985
55,G234205_G234406,G234205,G234406,Genetic-Physical,0.1575916809999999,0.1575916809999999
56,G234212_G235080,G234212,G235080,Physical,0.426543857,0.426543857
57,G234214_G239986,G234214,G239986,Genetic,0.699865662,0.699865662
58,G234217_G236825,G234217,G236825,Physical,0.8940584490000001,0.8940584490000001
59,G234232_G234964,G234232,G234964,Genetic,-0.088350354,-0.088350354
60,G234240_G234830,G234240,G234830,Genetic,0.063124063,0.063124063
61,G234265_G234880,G234265,G234880,Genetic,0.6648756610000001,0.6648756610000001
62,G234265_G235803,G234265,G235803,Genetic,0.445403553,0.445403553
63,G234275_G235439,G234275,G235439,Physical,-0.347782909,-0.347782909
64,G234277_G240303,G234277,G240303,Physical,-0.3396371929999999,-0.3396371929999999
65,G234285_G234656,G234285,G234656,Physical,0.293070431,0.293070431
66,G234293_G234227,G234293,G234227,Genetic,0.288587542,0.288587542
67,G234317_G240303,G234317,G240303,Physical,-0.467022878,-0.467022878
68,G234323_G234201,G234323,G234201,Physical,-0.381871879,-0.381871879
69,G234334_G234334,G234334,G234334,Physical,1.0,1.0
70,G234334_G234368,G234334,G234368,Genetic,-0.101511546,-0.101511546
71,G234334_G234684,G234334,G234684,Genetic,0.567936255,0.567936255
72,G234334_G234839,G234334,G234839,Genetic,0.043443211,0.043443211
73,G234334_G235027,G234334,G235027,Genetic,-0.034695065,-0.034695065
74,G234334_G235034,G234334,G235034,Genetic,0.098180768,0.098180768
75,G234334_G235077,G234334,G235077,Genetic,0.5539747070000001,0.5539747070000001
76,G234334_G235407,G234334,G235407,Genetic,0.876620339,0.876620339
77,G234334_G235892,G234334,G235892,Genetic,-0.128716897,-0.128716897
78,G234334_G238540,G234334,G238540,Genetic,0.866809506,0.866809506
79,G234334_G239316,G234334,G239316,Genetic,0.222061914,0.222061914
80,G234334_G239976,G234334,G239976,Genetic,0.7004285509999999,0.7004285509999999
81,G234368_G234240,G234368,G234240,Genetic,0.930408711,0.930408711
82,G234368_G235034,G234368,G235034,Genetic,-0.359269654,-0.359269654
83,G234369_G234381,G234369,G234381,Physical,0.432263371,0.432263371
84,G234382_G235506,G234382,G235506,Physical,-0.7310812,-0.7310812
85,G234392_G235632,G234392,G235632,Genetic,0.769963486,0.769963486
86,G234413_G234935,G234413,G234935,Physical,0.233730921,0.233730921
87,G234413_G235763,G234413,G235763,Physical,0.220070971,0.220070971
88,G234416_G234468,G234416,G234468,Physical,0.225232063,0.225232063
89,G234418_G234564,G234418,G234564,Physical,-0.410653605,-0.410653605
90,G234430_G234702,G234430,G234702,Physical,0.646192903,0.646192903
91,G234430_G235530,G234430,G235530,Physical,-0.063563143,-0.063563143
92,G234444_G234085,G234444,G234085,Physical,0.246071261,0.246071261
93,G234444_G235573,G234444,G235573,Physical,0.774216943,0.774216943
94,G234444_G235865,G234444,G235865,Physical,0.272373818,0.272373818
95,G234445_G235379,G234445,G235379,Physical,0.867867073,0.867867073
96,G234445_G235400,G234445,G235400,Physical,0.629914074,0.629914074
97,G234469_G234334,G234469,G234334,Genetic,-0.060036564,-0.060036564
98,G234495_G234967,G234495,G234967,Physical,0.496259419,0.496259419
99,G234497_G234983,G234497,G234983,Genetic,0.7387058190000001,0.7387058190000001
100,G234497_G235490,G234497,G235490,Physical,-0.314559679,-0.314559679
101,G234505_G235165,G234505,G235165,Physical,-0.120551463,-0.120551463
102,G234505_G235874,G234505,G235874,Genetic,0.5459008120000001,0.5459008120000001
103,G234513_G234640,G234513,G234640,Genetic,0.041167317,0.041167317
104,G234513_G235490,G234513,G235490,Physical,0.246969418,0.246969418
105,G234516_G234227,G234516,G234227,Genetic,0.170731427,0.170731427
106,G234517_G234227,G234517,G234227,Genetic,-0.110120181,-0.110120181
107,G234522_G234868,G234522,G234868,Genetic,-0.26334011,-0.26334011
108,G234525_G235574,G234525,G235574,Genetic-Physical,0.708165539,0.708165539
109,G234533_G234863,G234533,G234863,Physical,0.8189041309999999,0.8189041309999999
110,G234535_G234413,G234535,G234413,Genetic-Physical,0.370669779,0.370669779
111,G234535_G234935,G234535,G234935,Genetic-Physical,0.606461157,0.606461157
112,G234535_G234936,G234535,G234936,Genetic-Physical,0.580657547,0.580657547
113,G234535_G235763,G234535,G235763,Physical,0.1253470069999999,0.1253470069999999
114,G234553_G234572,G234553,G234572,Genetic,0.89825121,0.89825121
115,G234553_G235301,G234553,G235301,Genetic,0.784398319,0.784398319
116,G234553_G235632,G234553,G235632,Genetic,0.865742582,0.865742582
117,G234562_G234636,G234562,G234636,Genetic,-0.362514673,-0.362514673
118,G234562_G235025,G234562,G235025,Genetic,0.028384044,0.028384044
119,G234563_G234862,G234563,G234862,Physical,0.522501665,0.522501665
120,G234572_G235301,G234572,G235301,Genetic,0.93271999,0.93271999
121,G234572_G235632,G234572,G235632,Genetic,0.75631333,0.75631333
122,G234581_G234103,G234581,G234103,Genetic,0.151881683,0.151881683
123,G234581_G236325,G234581,G236325,Genetic,0.0,0.0
124,G234581_G237105,G234581,G237105,Genetic,0.588783454,0.588783454
125,G234581_G237936,G234581,G237936,Genetic,-0.510902937,-0.510902937
126,G234586_G234586,G234586,G234586,Physical,1.0,1.0
127,G234606_G234326,G234606,G234326,Genetic,0.920671097,0.920671097
128,G234610_G235529,G234610,G235529,Physical,-0.7298692790000001,-0.7298692790000001
129,G234613_G234265,G234613,G234265,Genetic-Physical,0.52708281,0.52708281
130,G234635_G234124,G234635,G234124,Genetic,0.771810983,0.771810983
131,G234644_G238567,G234644,G238567,Physical,0.605186121,0.605186121
132,G234659_G234594,G234659,G234594,Genetic,-0.717091933,-0.717091933
133,G234659_G234659,G234659,G234659,Genetic-Physical,1.0,1.0
134,G234659_G235485,G234659,G235485,Physical,-0.545869278,-0.545869278
135,G234665_G235404,G234665,G235404,Physical,-0.5099797660000001,-0.5099797660000001
136,G234666_G235655,G234666,G235655,Genetic,0.8005751170000001,0.8005751170000001
137,G234681_G234586,G234681,G234586,Physical,0.290315206,0.290315206
138,G234681_G234681,G234681,G234681,Physical,1.0,1.0
139,G234681_G235463,G234681,G235463,Physical,0.241592767,0.241592767
140,G234684_G235077,G234684,G235077,Genetic,0.7410706909999999,0.7410706909999999
141,G234687_G234876,G234687,G234876,Genetic,0.531135785,0.531135785
142,G234692_G236496,G234692,G236496,Physical,0.832358145,0.832358145
143,G234715_G235874,G234715,G235874,Genetic,0.373344426,0.373344426
144,G234732_G235632,G234732,G235632,Genetic-Physical,0.593515711,0.593515711
145,G234733_G235042,G234733,G235042,Physical,0.8811715809999999,0.8811715809999999
146,G234735_G234212,G234735,G234212,Physical,0.340847808,0.340847808
147,G234746_G234330,G234746,G234330,Physical,0.596383498,0.596383498
148,G234746_G235159,G234746,G235159,Genetic-Physical,0.508740191,0.508740191
149,G234746_G235471,G234746,G235471,Genetic,0.7032236059999999,0.7032236059999999
150,G234754_G234065,G234754,G234065,Physical,0.691845712,0.691845712
151,G234754_G234096,G234754,G234096,Physical,-0.755516667,-0.755516667
152,G234754_G234360,G234754,G234360,Physical,-0.585197066,-0.585197066
153,G234754_G234700,G234754,G234700,Physical,0.8331484090000001,0.8331484090000001
154,G234754_G234754,G234754,G234754,Physical,1.0,1.0
155,G234754_G234860,G234754,G234860,Physical,-0.15539584,-0.15539584
156,G234754_G234943,G234754,G234943,Physical,0.809396517,0.809396517
157,G234754_G235042,G234754,G235042,Physical,-0.6571497789999999,-0.6571497789999999
158,G234763_G235624,G234763,G235624,Physical,-0.035975335,-0.035975335
159,G234763_G235655,G234763,G235655,Genetic,0.470959973,0.470959973
160,G234772_G235655,G234772,G235655,Genetic,-0.451020835,-0.451020835
161,G234779_G234392,G234779,G234392,Genetic-Physical,0.0,0.0
162,G234779_G235632,G234779,G235632,Genetic,0.0,0.0
163,G234786_G235129,G234786,G235129,Genetic,-0.180608731,-0.180608731
164,G234786_G235229,G234786,G235229,Genetic-Physical,0.939910092,0.939910092
165,G234787_G234227,G234787,G234227,Genetic,-0.3875232870000001,-0.3875232870000001
166,G234811_G234334,G234811,G234334,Genetic,0.127651916,0.127651916
167,G234811_G234779,G234811,G234779,Genetic,0.0,0.0
168,G234812_G234270,G234812,G234270,Physical,-0.145825626,-0.145825626
169,G234823_G234854,G234823,G234854,Genetic,-0.6967672140000001,-0.6967672140000001
170,G234823_G235042,G234823,G235042,Genetic,0.882405015,0.882405015
171,G234824_G234073,G234824,G234073,Genetic,-0.186991408,-0.186991408
172,G234824_G235044,G234824,G235044,Genetic,0.297068506,0.297068506
173,G234824_G237843,G234824,G237843,Genetic,-0.758373594,-0.758373594
174,G234830_G234542,G234830,G234542,Genetic,0.258710106,0.258710106
175,G234839_G235892,G234839,G235892,Physical,0.743719262,0.743719262
176,G234849_G234107,G234849,G234107,Physical,0.6499683270000001,0.6499683270000001
177,G234849_G234549,G234849,G234549,Genetic,0.498144529,0.498144529
178,G234849_G234850,G234849,G234850,Physical,0.527477368,0.527477368
179,G234850_G234549,G234850,G234549,Genetic,0.671832167,0.671832167
180,G234863_G234744,G234863,G234744,Physical,-0.345456419,-0.345456419
181,G234867_G234894,G234867,G234894,Physical,0.679192197,0.679192197
182,G234867_G235086,G234867,G235086,Genetic-Physical,0.945980613,0.945980613
183,G234890_G234890,G234890,G234890,Physical,1.0,1.0
184,G234894_G235086,G234894,G235086,Physical,0.797592713,0.797592713
185,G234895_G234240,G234895,G234240,Genetic,-0.706311492,-0.706311492
186,G234895_G235035,G234895,G235035,Genetic,0.474741056,0.474741056
187,G234906_G234533,G234906,G234533,Physical,0.574722715,0.574722715
188,G234914_G234980,G234914,G234980,Genetic,0.915563826,0.915563826
189,G234914_G235131,G234914,G235131,Genetic,0.867341503,0.867341503
190,G234914_G235874,G234914,G235874,Genetic,0.744300229,0.744300229
191,G234915_G234102,G234915,G234102,Physical,-0.111404792,-0.111404792
192,G234918_G234860,G234918,G234860,Physical,-0.515443375,-0.515443375
193,G234926_G234591,G234926,G234591,Physical,-0.301378981,-0.301378981
194,G234933_G235652,G234933,G235652,Physical,-0.672788843,-0.672788843
195,G234934_G235379,G234934,G235379,Physical,0.72065352,0.72065352
196,G234934_G235425,G234934,G235425,Physical,0.906514059,0.906514059
197,G234935_G234445,G234935,G234445,Physical,-0.460856268,-0.460856268
198,G234935_G235329,G234935,G235329,Physical,0.497814721,0.497814721
199,G234935_G235763,G234935,G235763,Physical,0.124463385,0.124463385
200,G234935_G235859,G234935,G235859,Physical,-0.00360252,-0.00360252
201,G234935_G239966,G234935,G239966,Physical,-0.081344998,-0.081344998
202,G234936_G234413,G234936,G234413,Genetic-Physical,0.03137217,0.03137217
203,G234936_G234935,G234936,G234935,Genetic-Physical,0.840178841,0.840178841
204,G234936_G235763,G234936,G235763,Physical,0.466474583,0.466474583
205,G234949_G234296,G234949,G234296,Genetic,0.972494716,0.972494716
206,G234953_G234533,G234953,G234533,Physical,0.8487387590000001,0.8487387590000001
207,G234954_G235780,G234954,G235780,Genetic,0.913865546,0.913865546
208,G234955_G235324,G234955,G235324,Genetic,0.391697051,0.391697051
209,G234959_G234368,G234959,G234368,Genetic-Physical,0.605126425,0.605126425
210,G234964_G234554,G234964,G234554,Genetic,0.287834569,0.287834569
211,G234967_G234538,G234967,G234538,Physical,0.6037542920000001,0.6037542920000001
212,G234975_G235688,G234975,G235688,Physical,0.595014436,0.595014436
213,G234980_G234505,G234980,G234505,Genetic,-0.081544575,-0.081544575
214,G234980_G235131,G234980,G235131,Genetic,0.6146961879999999,0.6146961879999999
215,G234983_G234381,G234983,G234381,Genetic,-0.327733233,-0.327733233
216,G234983_G235246,G234983,G235246,Genetic,0.259066755,0.259066755
217,G234983_G235391,G234983,G235391,Genetic,-0.349122956,-0.349122956
218,G234983_G235626,G234983,G235626,Genetic,-0.345426138,-0.345426138
219,G234983_G235912,G234983,G235912,Genetic,0.519144658,0.519144658
220,G234983_G238061,G234983,G238061,Genetic,-0.436643926,-0.436643926
221,G234983_G238195,G234983,G238195,Genetic,0.6122805729999999,0.6122805729999999
222,G235011_G234286,G235011,G234286,Physical,0.8298904570000001,0.8298904570000001
223,G235012_G235278,G235012,G235278,Genetic,-0.57207979,-0.57207979
224,G235012_G235846,G235012,G235846,Genetic,-0.025039646,-0.025039646
225,G235014_G234139,G235014,G234139,Physical,0.705859881,0.705859881
226,G235014_G239392,G235014,G239392,Genetic,0.5550519970000001,0.5550519970000001
227,G235025_G235426,G235025,G235426,Genetic,-0.127849289,-0.127849289
228,G235025_G240017,G235025,G240017,Physical,0.779363565,0.779363565
229,G235035_G239952,G235035,G239952,Genetic,0.164728481,0.164728481
230,G235042_G234065,G235042,G234065,Physical,-0.465933261,-0.465933261
231,G235042_G234854,G235042,G234854,Genetic,-0.59677736,-0.59677736
232,G235043_G235680,G235043,G235680,Physical,0.34563442,0.34563442
233,G235044_G234073,G235044,G234073,Genetic,0.649823248,0.649823248
234,G235044_G237843,G235044,G237843,Genetic,0.244123021,0.244123021
235,G235052_G240410,G235052,G240410,Physical,-0.297138317,-0.297138317
236,G235077_G234093,G235077,G234093,Genetic,0.356854509,0.356854509
237,G235080_G238640,G235080,G238640,Physical,0.612697224,0.612697224
238,G235095_G236456,G235095,G236456,Physical,0.0,0.0
239,G235099_G235862,G235099,G235862,Genetic,0.104828044,0.104828044
240,G235105_G235532,G235105,G235532,Physical,0.865665777,0.865665777
241,G235105_G235793,G235105,G235793,Physical,0.692428906,0.692428906
242,G235127_G235288,G235127,G235288,Genetic,0.943100379,0.943100379
243,G235128_G234240,G235128,G234240,Genetic,-0.087799558,-0.087799558
244,G235129_G235785,G235129,G235785,Genetic,0.532955317,0.532955317
245,G235131_G235157,G235131,G235157,Physical,0.601828768,0.601828768
246,G235131_G235244,G235131,G235244,Physical,0.032800012,0.032800012
247,G235131_G235247,G235131,G235247,Physical,0.015134229,0.015134229
248,G235131_G235371,G235131,G235371,Physical,0.848640847,0.848640847
249,G235131_G235735,G235131,G235735,Physical,-0.023243041,-0.023243041
250,G235134_G235133,G235134,G235133,Genetic,0.80184583,0.80184583
251,G235135_G235222,G235135,G235222,Genetic,-0.121219442,-0.121219442
252,G235135_G235302,G235135,G235302,Genetic,0.0,0.0
253,G235136_G234402,G235136,G234402,Physical,0.123021596,0.123021596
254,G235136_G234763,G235136,G234763,Physical,-0.004787102,-0.004787102
255,G235136_G234772,G235136,G234772,Physical,0.7195838090000001,0.7195838090000001
256,G235136_G234908,G235136,G234908,Physical,-0.035688833,-0.035688833
257,G235136_G234983,G235136,G234983,Genetic-Physical,-0.27691027,-0.27691027
258,G235136_G235271,G235136,G235271,Genetic-Physical,-0.134289007,-0.134289007
259,G235136_G236167,G235136,G236167,Physical,0.298780907,0.298780907
260,G235137_G234227,G235137,G234227,Genetic,-0.0817086809999999,-0.0817086809999999
261,G235137_G235182,G235137,G235182,Physical,0.7244249490000001,0.7244249490000001
262,G235137_G235490,G235137,G235490,Physical,0.0172964039999999,0.0172964039999999
263,G235138_G235544,G235138,G235544,Physical,0.636797449,0.636797449
264,G235138_G235624,G235138,G235624,Physical,0.497548684,0.497548684
265,G235142_G235400,G235142,G235400,Genetic,0.235291989,0.235291989
266,G235142_G235833,G235142,G235833,Physical,0.286358614,0.286358614
267,G235143_G235143,G235143,G235143,Physical,1.0,1.0
268,G235143_G235690,G235143,G235690,Physical,0.7516856190000001,0.7516856190000001
269,G235143_G235741,G235143,G235741,Physical,0.8469334079999999,0.8469334079999999
270,G235158_G234074,G235158,G234074,Genetic-Physical,0.077874709,0.077874709
271,G235158_G234177,G235158,G234177,Genetic,0.640446828,0.640446828
272,G235158_G234465,G235158,G234465,Physical,0.41580597,0.41580597
273,G235158_G234735,G235158,G234735,Physical,0.124630235,0.124630235
274,G235159_G234330,G235159,G234330,Genetic-Physical,0.901272665,0.901272665
275,G235159_G235159,G235159,G235159,Physical,1.0,1.0
276,G235159_G236895,G235159,G236895,Physical,-0.090758295,-0.090758295
277,G235163_G234240,G235163,G234240,Genetic,0.163995189,0.163995189
278,G235163_G235189,G235163,G235189,Genetic,0.8208030829999999,0.8208030829999999
279,G235163_G235231,G235163,G235231,Physical,0.67828116,0.67828116
280,G235165_G235239,G235165,G235239,Physical,-0.425678475,-0.425678475
281,G235165_G235261,G235165,G235261,Physical,0.0,0.0
282,G235165_G235293,G235165,G235293,Physical,0.612637591,0.612637591
283,G235165_G235834,G235165,G235834,Physical,0.712027837,0.712027837
284,G235171_G235324,G235171,G235324,Physical,-0.177790731,-0.177790731
285,G235172_G234334,G235172,G234334,Genetic,0.737900326,0.737900326
286,G235172_G234392,G235172,G234392,Genetic,0.733199687,0.733199687
287,G235172_G234779,G235172,G234779,Genetic-Physical,0.0,0.0
288,G235172_G235312,G235172,G235312,Genetic,0.493585602,0.493585602
289,G235172_G237021,G235172,G237021,Genetic,0.809753403,0.809753403
290,G235177_G237463,G235177,G237463,Genetic,0.872980187,0.872980187
291,G235181_G235350,G235181,G235350,Physical,0.748616805,0.748616805
292,G235181_G235649,G235181,G235649,Physical,0.6909676779999999,0.6909676779999999
293,G235184_G235762,G235184,G235762,Physical,0.590996065,0.590996065
294,G235187_G235631,G235187,G235631,Genetic-Physical,0.966896091,0.966896091
295,G235187_G237160,G235187,G237160,Genetic,0.878663821,0.878663821
296,G235187_G239975,G235187,G239975,Physical,0.956861105,0.956861105
297,G235188_G234973,G235188,G234973,Genetic,-0.911509699,-0.911509699
298,G235189_G236022,G235189,G236022,Physical,0.259940095,0.259940095
299,G235191_G235163,G235191,G235163,Genetic,0.127583864,0.127583864
300,G235191_G235189,G235191,G235189,Genetic-Physical,0.490327114,0.490327114
301,G235191_G235363,G235191,G235363,Physical,-0.20982591,-0.20982591
302,G235191_G235539,G235191,G235539,Genetic-Physical,0.509133175,0.509133175
303,G235191_G237123,G235191,G237123,Physical,0.692046955,0.692046955
304,G235200_G235234,G235200,G235234,Physical,-0.635254071,-0.635254071
305,G235204_G235561,G235204,G235561,Physical,0.852406685,0.852406685
306,G235213_G234103,G235213,G234103,Genetic,0.7920293270000001,0.7920293270000001
307,G235213_G235801,G235213,G235801,Genetic-Physical,0.352332665,0.352332665
308,G235213_G238637,G235213,G238637,Physical,0.7749618909999999,0.7749618909999999
309,G235216_G235158,G235216,G235158,Physical,0.401181429,0.401181429
310,G235222_G235519,G235222,G235519,Genetic-Physical,0.391272649,0.391272649
311,G235228_G235127,G235228,G235127,Genetic,0.938906005,0.938906005
312,G235229_G235229,G235229,G235229,Physical,1.0,1.0
313,G235231_G234980,G235231,G234980,Physical,-0.013714969,-0.013714969
314,G235239_G235165,G235239,G235165,Physical,-0.425678475,-0.425678475
315,G235239_G235261,G235239,G235261,Physical,0.0,0.0
316,G235239_G235281,G235239,G235281,Physical,-0.370015266,-0.370015266
317,G235239_G235293,G235239,G235293,Physical,0.229816184,0.229816184
318,G235239_G235728,G235239,G235728,Physical,0.642642829,0.642642829
319,G235239_G235834,G235239,G235834,Physical,0.064862323,0.064862323
320,G235241_G235123,G235241,G235123,Physical,0.042886272,0.042886272
321,G235241_G235349,G235241,G235349,Physical,0.405275617,0.405275617
322,G235242_G235781,G235242,G235781,Genetic,-0.454826383,-0.454826383
323,G235243_G235711,G235243,G235711,Genetic,-0.02250644,-0.02250644
324,G235243_G235763,G235243,G235763,Genetic,0.543045961,0.543045961
325,G235243_G235803,G235243,G235803,Genetic,0.032769095,0.032769095
326,G235243_G239877,G235243,G239877,Genetic,0.420508782,0.420508782
327,G235244_G235157,G235244,G235157,Physical,0.318098779,0.318098779
328,G235247_G235157,G235247,G235157,Physical,0.348147991,0.348147991
329,G235247_G235244,G235247,G235244,Physical,0.470786935,0.470786935
330,G235247_G235247,G235247,G235247,Physical,1.0,1.0
331,G235247_G235371,G235247,G235371,Physical,0.12150219,0.12150219
332,G235248_G236626,G235248,G236626,Genetic,0.824185051,0.824185051
333,G235250_G235131,G235250,G235131,Physical,-0.321852418,-0.321852418
334,G235250_G235157,G235250,G235157,Physical,-0.17695538,-0.17695538
335,G235250_G235244,G235250,G235244,Physical,0.4224700320000001,0.4224700320000001
336,G235250_G235247,G235250,G235247,Physical,0.354679146,0.354679146
337,G235250_G235278,G235250,G235278,Physical,0.932605859,0.932605859
338,G235250_G235371,G235250,G235371,Physical,-0.173445242,-0.173445242
339,G235250_G235735,G235250,G235735,Physical,0.666392792,0.666392792
340,G235257_G235701,G235257,G235701,Genetic-Physical,-0.426854175,-0.426854175
341,G235261_G235239,G235261,G235239,Physical,0.0,0.0
342,G235261_G235293,G235261,G235293,Physical,0.0,0.0
343,G235261_G235834,G235261,G235834,Physical,0.0,0.0
344,G235265_G235550,G235265,G235550,Physical,0.750229736,0.750229736
345,G235265_G235621,G235265,G235621,Physical,-0.126193636,-0.126193636
346,G235265_G235639,G235265,G235639,Physical,-0.6186488920000001,-0.6186488920000001
347,G235265_G238704,G235265,G238704,Physical,0.574057432,0.574057432
348,G235265_G239467,G235265,G239467,Physical,0.482255315,0.482255315
349,G235271_G235271,G235271,G235271,Physical,1.0,1.0
350,G235271_G235477,G235271,G235477,Genetic-Physical,0.405483769,0.405483769
351,G235271_G235766,G235271,G235766,Genetic-Physical,0.436895506,0.436895506
352,G235273_G235395,G235273,G235395,Genetic,-0.748156142,-0.748156142
353,G235277_G235107,G235277,G235107,Genetic,0.670552716,0.670552716
354,G235277_G235242,G235277,G235242,Genetic,0.691962434,0.691962434
355,G235277_G235769,G235277,G235769,Genetic,-0.183889069,-0.183889069
356,G235277_G235781,G235277,G235781,Genetic,0.047148343,0.047148343
357,G235278_G235131,G235278,G235131,Physical,-0.479339489,-0.479339489
358,G235278_G235157,G235278,G235157,Physical,-0.154982612,-0.154982612
359,G235278_G235244,G235278,G235244,Physical,0.5576777039999999,0.5576777039999999
360,G235278_G235247,G235278,G235247,Physical,0.451045636,0.451045636
361,G235278_G235371,G235278,G235371,Physical,-0.305799813,-0.305799813
362,G235278_G235735,G235278,G235735,Physical,0.7104676129999999,0.7104676129999999
363,G235278_G235846,G235278,G235846,Genetic,0.6642445570000001,0.6642445570000001
364,G235281_G235165,G235281,G235165,Physical,0.876435946,0.876435946
365,G235281_G235239,G235281,G235239,Physical,-0.370015266,-0.370015266
366,G235281_G235261,G235281,G235261,Physical,0.0,0.0
367,G235281_G235293,G235281,G235293,Physical,0.752986253,0.752986253
368,G235281_G235728,G235281,G235728,Physical,0.150433403,0.150433403
369,G235281_G235834,G235281,G235834,Physical,0.4387515870000001,0.4387515870000001
370,G235287_G234275,G235287,G234275,Physical,-0.422805819,-0.422805819
371,G235287_G235131,G235287,G235131,Physical,0.549338385,0.549338385
372,G235287_G235157,G235287,G235157,Physical,0.597367807,0.597367807
373,G235287_G235244,G235287,G235244,Physical,0.390503389,0.390503389
374,G235287_G235247,G235287,G235247,Physical,0.210120383,0.210120383
375,G235287_G235250,G235287,G235250,Physical,0.451921137,0.451921137
376,G235287_G235257,G235287,G235257,Physical,0.235033197,0.235033197
377,G235287_G235278,G235287,G235278,Physical,0.368332296,0.368332296
378,G235287_G235332,G235287,G235332,Physical,0.6970590170000001,0.6970590170000001
379,G235287_G235371,G235287,G235371,Physical,0.6878633140000001,0.6878633140000001
380,G235287_G235439,G235287,G235439,Physical,0.560285405,0.560285405
381,G235287_G235735,G235287,G235735,Physical,0.727603132,0.727603132
382,G235293_G235239,G235293,G235239,Physical,0.229816184,0.229816184
383,G235293_G235834,G235293,G235834,Physical,0.567592027,0.567592027
384,G235294_G234240,G235294,G234240,Genetic,0.520653545,0.520653545
385,G235294_G235930,G235294,G235930,Genetic-Physical,0.880739624,0.880739624
386,G235297_G235827,G235297,G235827,Physical,0.8422155379999999,0.8422155379999999
