,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
26,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Mating and sporulation defects,PS00741,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,1
27,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Mating and sporulation defects,PS00741,1,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,1
28,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Mating and sporulation defects,PS00741,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
29,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Stress response defects,PS00741,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,1
30,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Stress response defects,PS00741,1,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,1
31,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Stress response defects,PS00741,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
32,G234076,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Carbohydrate and lipid biosynthesis defects,PS00463,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,1
33,G234076,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Carbohydrate and lipid biosynthesis defects,PS00463,1,METABOLISM,nucleus,1
34,G234076,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Carbohydrate and lipid biosynthesis defects,PS00463,1,TRANSCRIPTION,nucleus,1
35,G234084,Non-Essential,Protein Kinases,?,?,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
36,G234084,Non-Essential,Protein Kinases,?,?,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
37,G234084,Non-Essential,Protein Kinases,?,?,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
38,G234084,Non-Essential,Protein Kinases,?,?,PS00108,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
39,G234084,Non-Essential,Protein Kinases,?,?,PS00108,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
40,G234084,Non-Essential,Protein Kinases,?,?,PS00108,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
41,G234085,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,PS00685,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
42,G234085,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,PS00685,2,TRANSCRIPTION,nucleus,2
43,G234089,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,2
44,G234089,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,METABOLISM,plasma membrane,2
45,G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,2
46,G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
47,G234093,Non-Essential,Motorproteins,Cytoskeleton,?,PS00017,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,2
48,G234096,Non-Essential,Molecular chaperones,?,?,PS00297,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
49,G234096,Non-Essential,Molecular chaperones,?,?,PS00297,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
50,G234100,Essential,Transcription factors,Transcription complexes/Transcriptosome,Stress response defects,?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,2
51,G234100,Essential,Transcription factors,Transcription complexes/Transcriptosome,Stress response defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
52,G234100,Essential,Transcription factors,Transcription complexes/Transcriptosome,Stress response defects,?,2,TRANSCRIPTION,nucleus,2
53,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00017,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,2
54,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00017,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,2
55,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00017,2,ENERGY,mitochondria,2
56,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00017,2,IONIC HOMEOSTASIS,mitochondria,2
57,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00017,2,TRANSPORT FACILITATION,mitochondria,2
58,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00152,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,2
59,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00152,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,2
60,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00152,2,ENERGY,mitochondria,2
61,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00152,2,IONIC HOMEOSTASIS,mitochondria,2
62,G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies, carbon and",PS00152,2,TRANSPORT FACILITATION,mitochondria,2
63,G234102,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,PS00038,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
64,G234102,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,PS00038,2,METABOLISM,nucleus,2
65,G234102,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,PS00038,2,TRANSCRIPTION,nucleus,2
66,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
67,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
68,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
69,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
70,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
71,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
72,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00479,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
73,G234103,Essential,Protein Kinases,?,Cell cycle defects,PS00479,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
74,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
75,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
76,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
77,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
78,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
79,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
80,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
81,G234103,Essential,Protein Kinases,?,Cell morphology and organelle mutants,PS00479,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
82,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
83,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
84,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
85,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
86,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
87,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
88,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00479,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
89,G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,PS00479,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
90,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00107,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
91,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00107,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
92,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00107,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
93,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00107,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
94,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00479,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
95,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00479,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
96,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00479,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,2
97,G234103,Essential,Protein Kinases,?,Sensitivity to aminoacid analogs and other drugs,PS00479,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
98,G234106,?,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
99,G234106,?,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",?,2,TRANSCRIPTION,nucleus,2
100,G234106,?,Histones,Nucleosomal protein complex,Cell cycle defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
101,G234106,?,Histones,Nucleosomal protein complex,Cell cycle defects,?,2,TRANSCRIPTION,nucleus,2
102,G234106,?,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
103,G234106,?,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,?,2,TRANSCRIPTION,nucleus,2
104,G234106,?,Histones,Nucleosomal protein complex,Conditional phenotypes,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
105,G234106,?,Histones,Nucleosomal protein complex,Conditional phenotypes,?,2,TRANSCRIPTION,nucleus,2
106,G234106,?,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
107,G234106,?,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,?,2,TRANSCRIPTION,nucleus,2
108,G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
109,G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00322,2,TRANSCRIPTION,nucleus,2
110,G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
111,G234107,Non-Essential,Histones,Nucleosomal protein complex,"Auxotrophies, carbon and",PS00959,2,TRANSCRIPTION,nucleus,2
112,G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
113,G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00322,2,TRANSCRIPTION,nucleus,2
114,G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
115,G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,PS00959,2,TRANSCRIPTION,nucleus,2
116,G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00322,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
117,G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00322,2,TRANSCRIPTION,nucleus,2
118,G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00959,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
119,G234107,Non-Essential,Histones,Nucleosomal protein complex,Nucleic acid metabolism defects,PS00959,2,TRANSCRIPTION,nucleus,2
120,G234108,Non-Essential,Other kinases,?,?,PS00627,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
121,G234108,Non-Essential,Other kinases,?,?,PS00627,2,METABOLISM,cytoplasm,2
122,G234108,Non-Essential,Other kinases,?,?,PS00627,2,TRANSCRIPTION,cytoplasm,2
123,G234109,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,2
124,G234109,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,2
125,G234109,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,METABOLISM,plasma membrane,2
126,G234109,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,?,2,TRANSPORT FACILITATION,plasma membrane,2
127,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00017,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
128,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00017,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
129,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00225,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
130,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00225,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
131,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00674,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
132,G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,PS00674,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
133,G234123,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
134,G234123,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
135,G234123,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
136,G234123,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,?,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
137,G234123,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,?,2,PROTEIN DESTINATION,cytoplasm,2
138,G234123,Non-Essential,Ubiquitin-system proteins,?,Sensitivity to aminoacid analogs and other drugs,?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
139,G234123,Non-Essential,Ubiquitin-system proteins,?,Sensitivity to aminoacid analogs and other drugs,?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
140,G234123,Non-Essential,Ubiquitin-system proteins,?,Sensitivity to aminoacid analogs and other drugs,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
141,G234123,Non-Essential,Ubiquitin-system proteins,?,Sensitivity to aminoacid analogs and other drugs,?,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
142,G234123,Non-Essential,Ubiquitin-system proteins,?,Sensitivity to aminoacid analogs and other drugs,?,2,PROTEIN DESTINATION,cytoplasm,2
143,G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,2
144,G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,?,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
145,G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
146,G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,?,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,2
147,G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,?,2,PROTEIN DESTINATION,cytoplasm,2
148,G234124,Non-Essential,Transcription factors,?,Cell morphology and organelle mutants,PS00554,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,2
149,G234124,Non-Essential,Transcription factors,?,Cell morphology and organelle mutants,PS00554,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
150,G234124,Non-Essential,Transcription factors,?,Cell morphology and organelle mutants,PS00554,2,TRANSCRIPTION,nucleus,2
151,G234124,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,PS00554,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,2
152,G234124,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,PS00554,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
153,G234124,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,PS00554,2,TRANSCRIPTION,nucleus,2
154,G234126,Non-Essential,GTP-binding proteins,Translation complexes,?,PS00017,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,2
155,G234126,Non-Essential,GTP-binding proteins,Translation complexes,?,PS00017,2,PROTEIN SYNTHESIS,cytoplasm,2
156,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),vacuole,2
157,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,vacuole,2
158,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,IONIC HOMEOSTASIS,vacuole,2
159,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar","Auxotrophies, carbon and",PS00152,2,TRANSPORT FACILITATION,vacuole,2
160,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Conditional phenotypes,PS00152,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),vacuole,2
161,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Conditional phenotypes,PS00152,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,vacuole,2
162,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Conditional phenotypes,PS00152,2,IONIC HOMEOSTASIS,vacuole,2
163,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Conditional phenotypes,PS00152,2,TRANSPORT FACILITATION,vacuole,2
164,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Stress response defects,PS00152,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),vacuole,2
165,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Stress response defects,PS00152,2,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,vacuole,2
166,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Stress response defects,PS00152,2,IONIC HOMEOSTASIS,vacuole,2
167,G234128,Non-Essential,ATPases,"H+-transporting ATPase, vacuolar",Stress response defects,PS00152,2,TRANSPORT FACILITATION,vacuole,2
168,G234131,Non-Essential,GTPase activating proteins (GAPs),?,?,PS00509,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,2
169,G234131,Non-Essential,GTPase activating proteins (GAPs),?,?,PS00509,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,2
170,G234139,Non-Essential,Transcription factors,?,?,PS00350,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
171,G234139,Non-Essential,Transcription factors,?,?,PS00350,2,TRANSCRIPTION,nucleus,2
172,G234141,Essential,Transcription factors,Transcription complexes/Transcriptosome,?,?,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,2
173,G234141,Essential,Transcription factors,Transcription complexes/Transcriptosome,?,?,2,TRANSCRIPTION,nucleus,2
174,G234167,Non-Essential,GTP-binding proteins,Cytoskeleton,Cell morphology and organelle mutants,PS00017,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,3
175,G234167,Non-Essential,GTP-binding proteins,Cytoskeleton,Cell morphology and organelle mutants,PS00017,3,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,3
176,G234167,Non-Essential,GTP-binding proteins,Cytoskeleton,Cell morphology and organelle mutants,PS00017,3,METABOLISM,cytoskeleton,3
