,GeneID,Localization,sum(Expression_Corr),max(Expression_Corr),min(Expression_Corr),nb_rows_in_Genes,nb_rows_in_Interactions
250,G235042,cytoplasm,-1.062710621,-0.465933261,-0.59677736,8,2.0
251,G235043,nucleus,0.34563442,0.34563442,0.34563442,3,1.0
252,G235044,cytoplasm,0.8939462690000001,0.649823248,0.244123021,4,2.0
253,G235052,mitochondria,-0.297138317,-0.297138317,-0.297138317,2,1.0
254,G235054,mitochondria,0.0,0.0,0.0,12,0.0
255,G235059,cytoplasm,0.0,0.0,0.0,2,0.0
256,G235065,cytoplasm,0.0,0.0,0.0,2,0.0
257,G235075,nucleus,0.0,0.0,0.0,6,0.0
258,G235077,cytoskeleton,0.356854509,0.356854509,0.356854509,36,1.0
259,G235080,golgi,0.612697224,0.612697224,0.612697224,12,1.0
260,G235086,nucleus,0.0,0.0,0.0,2,0.0
261,G235095,mitochondria,0.0,0.0,0.0,2,1.0
262,G235099,transport vesicles,0.104828044,0.104828044,0.104828044,2,1.0
263,G235101,cytoplasm,0.0,0.0,0.0,3,0.0
264,G235105,nucleus,1.5580946830000002,0.865665777,0.692428906,2,2.0
265,G235107,cytoplasm,0.0,0.0,0.0,6,0.0
266,G235123,nucleus,0.0,0.0,0.0,6,0.0
267,G235127,cytoplasm,0.943100379,0.943100379,0.943100379,2,1.0
268,G235128,nucleus,-0.087799558,-0.087799558,-0.087799558,2,1.0
269,G235129,nucleus,0.532955317,0.532955317,0.532955317,3,1.0
270,G235130,cytoplasm,0.0,0.0,0.0,6,0.0
271,G235131,nucleus,1.475160815,0.848640847,-0.023243041,20,5.0
272,G235132,cytoplasm,0.0,0.0,0.0,2,0.0
273,G235133,nucleus,0.0,0.0,0.0,4,0.0
274,G235134,nucleus,0.80184583,0.80184583,0.80184583,12,1.0
275,G235135,mitochondria,-0.121219442,0.0,-0.121219442,4,2.0
276,G235136,cytoskeleton,0.6897111,0.7195838090000001,-0.27691027,8,7.0
277,G235137,nucleus,0.6600126720000001,0.7244249490000001,-0.0817086809999999,4,3.0
278,G235138,nucleus,1.134346133,0.636797449,0.497548684,3,2.0
279,G235142,nucleus,0.521650603,0.286358614,0.235291989,6,2.0
280,G235143,cytoplasm,2.598619027,1.0,0.7516856190000001,12,3.0
281,G235145,cytoplasm,0.0,0.0,0.0,6,0.0
282,G235157,nucleus,0.0,0.0,0.0,8,0.0
283,G235158,cytoskeleton,1.258757742,0.640446828,0.077874709,12,4.0
284,G235159,nucleus,1.81051437,1.0,-0.090758295,4,3.0
285,G235161,mitochondria,0.0,0.0,0.0,3,0.0
286,G235163,nucleus,1.663079432,0.8208030829999999,0.163995189,3,3.0
287,G235165,golgi,0.8989869530000001,0.712027837,-0.425678475,2,4.0
288,G235170,nucleus,0.0,0.0,0.0,4,0.0
289,G235171,mitochondria,-0.177790731,-0.177790731,-0.177790731,2,1.0
290,G235172,nucleus,2.7744390180000003,0.809753403,0.0,12,5.0
291,G235173,cytoplasm,0.0,0.0,0.0,4,0.0
292,G235177,ER,0.872980187,0.872980187,0.872980187,36,1.0
293,G235181,nucleus,1.4395844830000002,0.748616805,0.6909676779999999,3,2.0
294,G235182,nucleus,0.0,0.0,0.0,2,0.0
295,G235184,nucleus,0.590996065,0.590996065,0.590996065,4,1.0
296,G235185,nucleus,0.0,0.0,0.0,3,0.0
297,G235187,nucleus,2.802421017,0.966896091,0.878663821,2,3.0
298,G235188,nucleus,-0.911509699,-0.911509699,-0.911509699,2,1.0
299,G235189,nucleus,0.259940095,0.259940095,0.259940095,2,1.0
300,G235191,nucleus,1.609265198,0.692046955,-0.20982591,2,5.0
301,G235200,vacuole,-0.635254071,-0.635254071,-0.635254071,2,1.0
302,G235201,cytoplasm,0.0,0.0,0.0,2,0.0
303,G235204,cytoplasm,0.852406685,0.852406685,0.852406685,8,1.0
304,G235205,cytoplasm,0.0,0.0,0.0,2,0.0
305,G235207,nucleus,0.0,0.0,0.0,9,0.0
306,G235213,nucleus,1.919323883,0.7920293270000001,0.352332665,8,3.0
307,G235214,nucleus,0.0,0.0,0.0,12,0.0
308,G235216,cytoskeleton,0.401181429,0.401181429,0.401181429,1,1.0
309,G235222,mitochondria,0.391272649,0.391272649,0.391272649,4,1.0
310,G235225,nucleus,0.0,0.0,0.0,3,0.0
311,G235228,cytoplasm,0.938906005,0.938906005,0.938906005,4,1.0
312,G235229,nucleus,1.0,1.0,1.0,4,1.0
313,G235231,nucleus,-0.013714969,-0.013714969,-0.013714969,4,1.0
314,G235234,vacuole,0.0,0.0,0.0,2,0.0
315,G235235,ER,0.0,0.0,0.0,4,0.0
316,G235239,golgi,0.1416275949999999,0.642642829,-0.425678475,6,6.0
317,G235240,nucleus,0.0,0.0,0.0,4,0.0
318,G235241,nucleus,0.448161889,0.405275617,0.042886272,3,2.0
319,G235242,cytoskeleton,-0.454826383,-0.454826383,-0.454826383,6,1.0
320,G235243,nucleus,0.973817398,0.543045961,-0.02250644,9,4.0
321,G235244,nucleus,0.318098779,0.318098779,0.318098779,2,1.0
322,G235245,mitochondria,0.0,0.0,0.0,3,0.0
323,G235246,cytoplasm,0.0,0.0,0.0,2,0.0
324,G235247,nucleus,1.940437116,1.0,0.12150219,4,4.0
325,G235248,transport vesicles,0.824185051,0.824185051,0.824185051,4,1.0
326,G235250,nucleus,1.703894789,0.932605859,-0.321852418,9,7.0
327,G235252,nucleus,0.0,0.0,0.0,3,0.0
328,G235257,nucleus,-0.426854175,-0.426854175,-0.426854175,2,1.0
329,G235259,transport vesicles,0.0,0.0,0.0,2,0.0
330,G235261,golgi,0.0,0.0,0.0,2,3.0
331,G235264,nucleus,0.0,0.0,0.0,4,0.0
332,G235265,nucleus,1.061699955,0.750229736,-0.6186488920000001,2,5.0
333,G235266,nucleus,0.0,0.0,0.0,3,0.0
334,G235271,cytoskeleton,1.842379275,1.0,0.405483769,6,3.0
335,G235272,nucleus,0.0,0.0,0.0,2,0.0
336,G235273,nucleus,-0.748156142,-0.748156142,-0.748156142,12,1.0
337,G235274,nucleus,0.0,0.0,0.0,3,0.0
338,G235277,cytoskeleton,1.225774424,0.691962434,-0.183889069,6,4.0
339,G235278,nucleus,1.443313596,0.7104676129999999,-0.479339489,6,7.0
340,G235279,nucleus,0.0,0.0,0.0,2,0.0
341,G235281,golgi,1.848591923,0.876435946,-0.370015266,2,6.0
342,G235285,nucleus,0.0,0.0,0.0,12,0.0
343,G235287,nucleus,5.052621643,0.727603132,-0.422805819,6,12.0
344,G235288,cytoplasm,0.0,0.0,0.0,2,0.0
345,G235293,golgi,0.7974082109999999,0.567592027,0.229816184,2,2.0
346,G235294,nucleus,1.401393169,0.880739624,0.520653545,3,2.0
347,G235297,ER,1.362565296,0.8422155379999999,0.5203497579999999,9,2.0
348,G235300,ER,0.0,0.0,0.0,3,0.0
349,G235301,cytoplasm,2.141823439,0.986212398,0.0,9,4.0
350,G235302,mitochondria,0.0,0.0,0.0,4,0.0
351,G235303,mitochondria,0.0,0.0,0.0,4,0.0
352,G235307,cytoplasm,0.0,0.0,0.0,3,0.0
353,G235309,cytoplasm,0.281626665,0.281626665,0.281626665,9,1.0
354,G235310,nucleus,0.0,0.0,0.0,4,0.0
355,G235312,cytoskeleton,0.761367169,0.709874329,0.0,9,3.0
356,G235313,cytoskeleton,0.0,0.0,0.0,1,0.0
357,G235317,cytoplasm,0.0,0.0,0.0,2,1.0
358,G235324,nucleus,0.0,0.0,0.0,2,0.0
359,G235326,cytoplasm,0.0,0.0,0.0,2,0.0
360,G235327,nucleus,-0.223839483,0.459036101,-0.682875584,2,2.0
361,G235329,nucleus,2.343947163,0.703010525,0.515465562,2,4.0
362,G235331,cytoplasm,0.0,0.0,0.0,2,0.0
363,G235332,nucleus,1.801001241,0.644203775,0.095650883,2,4.0
364,G235334,nucleus,0.619463643,0.619463643,0.619463643,2,1.0
365,G235335,nucleus,0.8686334440000001,0.8686334440000001,0.8686334440000001,2,1.0
366,G235336,cytoplasm,2.341367437,1.0,-0.469868938,12,7.0
367,G235340,cytoskeleton,-0.01650513,-0.01650513,-0.01650513,6,1.0
368,G235344,nucleus,1.684884143,0.699791796,0.485897277,2,3.0
369,G235345,nucleus,0.0,0.0,0.0,2,0.0
370,G235348,mitochondria,-0.851729394,-0.851729394,-0.851729394,6,1.0
371,G235349,nucleus,0.196788832,0.196788832,0.196788832,3,1.0
372,G235350,nucleus,1.470978766,1.0,-0.041962416,3,3.0
373,G235357,mitochondria,0.891039915,0.891039915,0.891039915,4,1.0
374,G235358,nucleus,-0.332879138,0.133261607,-0.466140745,3,2.0
375,G235359,cytoplasm,0.0,0.0,0.0,4,0.0
376,G235363,cytoplasm,0.0,0.0,0.0,2,0.0
377,G235366,nucleus,0.0,0.0,0.0,6,0.0
378,G235371,nucleus,1.0033545,0.88601015,0.11734435,4,2.0
379,G235372,nucleus,0.0,0.0,0.0,8,0.0
380,G235375,nucleus,-0.533112364,-0.533112364,-0.533112364,2,1.0
381,G235379,cytoplasm,0.0,0.0,0.0,2,0.0
382,G235380,cytoplasm,0.312093675,0.312093675,0.312093675,12,1.0
383,G235381,nucleus,-0.0741368979999999,-0.0741368979999999,-0.0741368979999999,3,1.0
384,G235383,cytoplasm,0.0,0.0,0.0,2,0.0
385,G235386,nucleus,0.0,0.0,0.0,2,0.0
386,G235388,nucleus,0.864190393,0.864190393,0.864190393,2,1.0
387,G235390,ER,0.0,0.0,0.0,3,0.0
388,G235391,cytoplasm,0.0,0.0,0.0,2,0.0
389,G235395,nucleus,0.0,0.0,0.0,2,0.0
390,G235398,plasma membrane,0.0,0.0,0.0,3,0.0
391,G235400,nucleus,-0.051075603,-0.051075603,-0.051075603,2,1.0
392,G235403,cytoplasm,0.0,0.0,0.0,3,0.0
393,G235404,nucleus,0.0,0.0,0.0,3,0.0
394,G235407,cytoplasm,2.17573177,0.962220218,0.517652706,16,3.0
395,G235408,mitochondria,0.38663859,0.38663859,0.38663859,8,1.0
396,G235417,nucleus,0.365180925,0.365180925,0.365180925,2,1.0
397,G235419,nucleus,-0.067101314,-0.067101314,-0.067101314,4,1.0
398,G235425,cytoplasm,0.748497753,0.748497753,0.748497753,3,1.0
399,G235426,nucleus,0.0,0.0,0.0,20,0.0
400,G235434,nucleus,0.0,0.0,0.0,2,0.0
401,G235435,cytoplasm,0.152332875,0.152332875,0.152332875,3,1.0
402,G235436,cytoplasm,0.0,0.0,0.0,3,0.0
403,G235438,nucleus,0.251732764,0.659153394,-0.469436589,4,3.0
404,G235439,nucleus,5.78908074,0.8868069140000001,0.119740468,12,14.0
405,G235442,nucleus,1.127190111,0.760449477,0.366740634,2,2.0
406,G235447,nucleus,0.0,0.0,0.0,4,0.0
407,G235448,golgi,0.8164611140000001,0.8164611140000001,0.8164611140000001,6,1.0
